NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		40	0.20552446	0.8658107	0.68415743	1.0	1.0	2749	tags=23%, list=18%, signal=27%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		97	0.18099833	0.8605206	0.742	1.0	1.0	11808	tags=85%, list=76%, signal=346%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		164	0.16306834	0.82129085	0.866	1.0	1.0	7156	tags=41%, list=46%, signal=75%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		178	0.15527536	0.79139584	0.909	1.0	1.0	7007	tags=43%, list=45%, signal=77%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		169	0.15750268	0.79053116	0.912	1.0	1.0	5063	tags=31%, list=32%, signal=46%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		182	0.15073931	0.76095325	0.947	1.0	1.0	7860	tags=47%, list=50%, signal=94%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		31	0.18080755	0.7212047	0.85831624	1.0	1.0	3048	tags=23%, list=20%, signal=28%	
SMID_BREAST_CANCER_LUMINAL_A_UP	SMID_BREAST_CANCER_LUMINAL_A_UP		78	0.14340593	0.67306954	0.9448898	1.0	1.0	10681	tags=69%, list=68%, signal=218%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		178	0.13126652	0.6719518	0.983	1.0	1.0	11572	tags=75%, list=74%, signal=288%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		31	0.16762412	0.67054814	0.8876405	1.0	1.0	11524	tags=81%, list=74%, signal=308%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS		177	0.13126028	0.6597278	0.983	1.0	1.0	8079	tags=50%, list=52%, signal=102%	
BIOCARTA_HER2_PATHWAY	BIOCARTA_HER2_PATHWAY		20	0.17471626	0.6364542	0.91377497	1.0	1.0	5329	tags=35%, list=34%, signal=53%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		179	0.12091249	0.61392957	0.993	1.0	1.0	6341	tags=35%, list=41%, signal=59%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		173	0.12131862	0.61179566	0.998	1.0	1.0	10875	tags=68%, list=70%, signal=221%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		174	0.1189202	0.6058789	0.995	1.0	1.0	6428	tags=32%, list=41%, signal=53%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		90	0.124187894	0.5804706	0.989	1.0	1.0	12779	tags=83%, list=82%, signal=458%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		178	0.08717728	0.43923107	0.999	1.0	1.0	3331	tags=16%, list=21%, signal=20%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		138	0.08516516	0.4208568	1.0	1.0	1.0	7670	tags=38%, list=49%, signal=75%	
HUPER_BREAST_BASAL_VS_LUMINAL_UP	HUPER_BREAST_BASAL_VS_LUMINAL_UP		51	0.08067272	0.34911656	1.0	0.9999652	1.0	7346	tags=41%, list=47%, signal=78%	
